id,name,country_id:id,state_id:id,county_id:id
gt_zone_87,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_88,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_89,Zona 12,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_90,Zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_91,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_92,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_93,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_94,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_95,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_96,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_97,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_98,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_99,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_100,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_14
gt_zone_101,zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_102,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_103,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_104,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_105,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_106,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_107,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_108,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_109,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_110,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_111,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_6
gt_zone_112,zona 1,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_113,Zona 2,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_114,Zona 3,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_115,Zona 4,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_116,Zona 5,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_117,Zona 6,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_118,Zona 7,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_119,Zona 8,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_120,Zona 9,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_121,Zona 10,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_122,Zona 11,base.gt,base.state_gt_cmt,l10n_gt_inteligos.county_gt_36
gt_zone_123,Zona 1,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_124,Zona 2,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_125,Zona 3,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_126,Zona 4,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_127,Zona 5,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_128,Zona 6,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_129,Zona 7,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_130,Zona 8,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_131,Zona 9,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_132,Zona 10,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_133,Zona 11,base.gt,base.state_gt_cqm,l10n_gt_inteligos.county_gt_43
gt_zone_134,Zona 1,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_135,Zona 2,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_136,Zona 3,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_137,Zona 4,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_138,Zona 5,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_139,Zona 6,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_140,Zona 7,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_141,Zona 8,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_142,Zona 9,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_143,Zona 10,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_144,Zona 11,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_106
gt_zone_145,Zona 1,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_146,Zona 2,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_147,Zona 3,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_148,Zona 4,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_149,Zona 5,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_150,Zona 6,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_151,Zona 7,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_152,Zona 8,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_153,Zona 9,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_154,Zona 10,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_155,Zona 11,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_104
gt_zone_156,Zona 1,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_157,Zona 2,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_158,Zona 3,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_159,Zona 4,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_160,Zona 5,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_161,Zona 6,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_162,Zona 7,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_163,Zona 8,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_164,Zona 9,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_165,Zona 10,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_166,Zona 11,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_107
gt_zone_167,Zona 1,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_168,Zona 2,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_169,Zona 3,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_170,Zona 4,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_171,Zona 5,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_172,Zona 6,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_173,Zona 7,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_174,Zona 8,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_175,Zona 9,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_176,Zona 10,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_177,Zona 11,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_178,Zona 12,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_97
gt_zone_179,Zona 1,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_180,Zona 2,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_181,Zona 3,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_182,Zona 4,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_183,Zona 5,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_184,Zona 6,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_185,Zona 7,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_186,Zona 8,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_187,Zona 9,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_188,Zona 10,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_189,Zona 11,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_99
gt_zone_190,Zona 1,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_191,Zona 2,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_192,Zona 3,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_193,Zona 4,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_194,Zona 5,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_195,Zona 6,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_196,Zona 7,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_197,Zona 8,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_198,Zona 9,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
